1 - Qual a sua idade?,2 - Reside em Cachoeira do sul ou se mudaria para a cidade:,"3 - Se não reside em Cachoeira do Sul, mora em qual cidade?",4 - Qual a sua escolaridade:,"5 - Se possuí formação superior, qual o nível:","6 - Se você trabalha, qual a sua área de atuação:",7 - Seria a sua primeira vez estudando na UFSM-CS:,8 - Qual curso está cursando na UFSM-CS?,9 - Em quanto tempo pretende iniciar uma graduação?,"10 - Teria interesse em cursos da área de Exatas (como Matemática, Física, Química, Engenharia, entre outros)? Essa área abrange cursos voltados para o raciocínio lógico, cálculo, experimentação e tecnologia, podendo ter foco em pesquisa, indústria ou ensino (Licenciatura).","11 - Na sua opinião, qual a maior dificuldade para iniciar ou concluir uma graduação:","12 - Sobre o curso apresentado (Ciências Exatas e Sustentabilidade Tecnológica), você teria interesse em cursá-lo na UFSM-CS?",13 - Qual seu nível de interesse em fazer o curso apresentado?,14 - Qual turno seria mais adequado para você fazer o curso?,15 - Quais fatores te influenciam na escolha do curso? (marque até 2),16 - Você estaria disposto a fazer o curso mesmo se precisasse trabalhar e estudar ao mesmo tempo?,17 - Qual é o seu nível de interesse em um curso de Engenharia de Software?,"18 -  Se não tem interesse em nenhum desses cursos, teria interesse em algum outro:",19 - Em qual dos cursos ofertados pela UFSM-CS você tem interesse?,"20 - Em qual curso,  não ofertado pela UFSM-CS ,  você tem interesse?",24 - Você conhece alguém que teria interesse em fazer alguns dos cursos apresentados?,Identificação
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,Educação / Ensino / Pedagogia,Sim,,Em até 1 ano,"Sim, tenho interesse",Falta de tempo,Sim,4- Interesse alto,Noturno,Remuneração no mercado,Sim,Talvez teria interesse,,,,Sim,Outro
35+,"Sim, eu moro em Cachoeira do Sul",,Pós-graduação,Licenciatura,"Saúde (ex: enfermagem, medicina, odontologia)","Não, tranquei o último curso",,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Outro
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em 1–2 anos,Não tenho interesse,,,,,,,,,,,Sim,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Comércio / Vendas / Atendimento,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
Menos de 18,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Talvez, dependendo do curso",Falta de dinheiro,Talvez,2 – Tenho pouco interesse,Noturno,"Afinidade com a área, Remuneração no mercado, Facilidade de inserção profissional, Prestígio da profissão",Sim,Não tenho interesse,Ainda não sei / Estou em dúvida,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Em até 1 ano,Não tenho interesse,,,,,,,,,,,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Nos próximos 6 meses,"Sim, tenho interesse",Falta de dinheiro,"Não, mas tenho interesse em outro curso não ofertado na UFSM-CS",,,,,,,,Engenharia Civil,Não,Escola
18–24,"Sim, eu moro em Cachoeira do Sul",,Ensino Médio incompleto,Não tenho,Não estou trabalhando,Sim,,Ainda sem previsão,Não tenho interesse,,,,,,,,,,,Não,Escola
